14,26376,3,26376,13301
12,7316,2,7316,19329
28,2803,2,2803,87381
25,22022,2,22022,94036
20,13883,5,13883,50722
14,21304,1,21304,55449
22,2029,2,2029,12482
4,7384,3,7384,22408
24,20136,2,20136,45396
11,11438,3,11438,88147
11,5131,5,5131,60699
26,2593,2,2593,69093
7,2334,1,2334,21867
9,17428,4,17428,49859
1,21434,4,21434,12730
17,13038,3,13038,102232
18,9915,4,9915,40854
13,17633,2,17633,20050
31,15800,4,15800,68171
24,3922,2,3922,79332
17,2776,3,2776,50128
2,26861,2,26861,24767
4,9841,2,9841,76355
26,12500,4,12500,47262
2,4749,2,4749,6879
5,26813,4,26813,98523
22,12130,2,12130,54395
17,6578,3,6578,84381
25,28140,3,28140,101752
7,20838,2,20838,91626
24,4075,4,4075,51524
1,15432,1,15432,75537
9,1116,2,1116,39499
19,17270,2,17270,63548
28,4670,2,4670,98783
6,6886,3,6886,6868
13,17637,2,17637,102103
27,13469,4,13469,100203
11,28816,1,28816,101041
29,6197,3,6197,66150
8,13298,4,13298,12706
16,3269,2,3269,73972
18,4123,4,4123,98927
29,2219,1,2219,99476
4,15748,3,15748,11631
4,5709,4,5709,37117
14,10462,5,10462,87891
29,22647,3,22647,7842
28,14241,2,14241,72384
9,23378,1,23378,90100
13,18494,4,18494,30143
4,2625,4,2625,101184
8,19113,3,19113,24393
18,25773,2,25773,47548
6,19809,4,19809,70085
24,27780,2,27780,82266
1,19627,3,19627,63876
11,28824,1,28824,86162
30,21983,2,21983,33669
21,20757,4,20757,46234
20,12155,3,12155,86758
24,16759,2,16759,101801
6,11356,1,11356,72069
1,7781,3,7781,49241
17,2871,1,2871,82282
9,9172,5,9172,43320
7,13822,2,13822,13925
21,2625,5,2625,49684
24,19415,2,19415,20765
19,27225,2,27225,75411
4,5618,2,5618,68363
1,19422,1,19422,35113
1,18391,5,18391,80431
25,23601,5,23601,76858
30,20132,1,20132,48207
13,2924,5,2924,23470
2,22162,5,22162,86920
19,21082,4,21082,89094
26,13062,5,13062,70936
25,1903,3,1903,85310
26,11944,2,11944,64794
4,4834,2,4834,51052
20,10194,4,10194,92517
12,16333,1,16333,62355
8,11589,5,11589,80094
1,13711,1,13711,17043
23,12600,1,12600,16020
7,8974,3,8974,20431
3,7843,3,7843,95153
7,21344,2,21344,59064
14,11145,1,11145,91701
21,20883,1,20883,72859
18,27522,3,27522,30425
3,26763,1,26763,36155
9,4236,2,4236,17484
5,20878,3,20878,10966
23,8960,2,8960,68081
1,15984,3,15984,68564
26,1703,2,1703,21930
21,17162,3,17162,13028
6,6702,4,6702,16106
28,26322,5,26322,21596
16,29176,3,29176,69159
6,10351,1,10351,48393
9,4222,2,4222,31809
17,22800,3,22800,20551
4,6930,2,6930,45492
18,4106,3,4106,79753
15,16148,2,16148,100171
18,8464,3,8464,27149
4,18978,3,18978,10262
11,1299,5,1299,78363
19,16615,5,16615,26034
9,13746,1,13746,61111
20,12048,1,12048,40649
1,18377,4,18377,71631
24,21326,4,21326,101505
7,9305,5,9305,59655
22,979,2,979,75494
26,21635,5,21635,51474
18,17817,1,17817,99963
12,10350,2,10350,45769
7,28978,3,28978,34976
1,21878,2,21878,25992
31,21526,4,21526,50009
30,19019,5,19019,84968
22,18653,1,18653,82421
25,20139,5,20139,51910
6,24212,1,24212,50463
14,1423,5,1423,99965
10,8867,1,8867,91520
27,13356,2,13356,64485
22,13755,5,13755,51235
8,24521,4,24521,57036
28,13774,4,13774,90065
24,16761,1,16761,35928
22,26224,3,26224,33034
10,14179,2,14179,25322
6,12515,5,12515,28320
26,25446,5,25446,84687
9,24637,5,24637,23465
24,11707,3,11707,66591
30,5018,3,5018,51121
1,16083,5,16083,22695
6,4627,2,4627,10156
25,14444,5,14444,42725
23,3307,4,3307,67563
27,23299,2,23299,90092
5,25390,1,25390,43607
6,1907,3,1907,8231
2,14737,2,14737,89533
16,16937,5,16937,43259
8,24393,3,24393,42830
4,14909,4,14909,75407
13,9139,1,9139,27816
5,28540,4,28540,86483
16,23731,3,23731,42002
29,15286,2,15286,43769
15,15492,3,15492,44936
15,8970,5,8970,7117
25,17427,5,17427,58451
15,2365,1,2365,19217
15,6002,5,6002,33375
15,27861,2,27861,54554
18,7129,1,7129,62270
16,2742,4,2742,69682
14,16096,3,16096,67578
23,26295,2,26295,78122
2,19954,1,19954,33192
18,8289,4,8289,49590
28,15197,2,15197,31220
3,21696,2,21696,7764
10,13799,2,13799,8503
23,21183,5,21183,48291
8,25593,5,25593,46598
12,26267,1,26267,48739
6,3696,3,3696,31896
14,21616,4,21616,63090
9,26076,1,26076,65098
23,23645,1,23645,35210
25,8783,5,8783,75618
15,7652,5,7652,26444
19,22434,5,22434,64224
10,14063,4,14063,54418
19,20221,5,20221,61700
17,24319,5,24319,40183
1,23985,3,23985,37137
3,8648,2,8648,59470
18,26018,5,26018,51613
28,5009,1,5009,51484
27,16095,2,16095,90272
31,12625,2,12625,96166
24,24814,1,24814,27178
19,7920,3,7920,80887
9,25246,5,25246,100244
18,17188,4,17188,49990
30,16648,1,16648,86885
28,27089,3,27089,31835
16,19811,1,19811,84568
27,23740,5,23740,90379
1,18944,4,18944,98671
24,17629,2,17629,48509
10,20231,2,20231,94922
25,6646,1,6646,63301
4,4089,5,4089,41417
31,2571,5,2571,20020
31,4315,5,4315,14553
16,3081,1,3081,37641
11,3460,2,3460,92487
17,28001,3,28001,58904
22,5951,2,5951,17239
30,12872,1,12872,51207
14,8509,4,8509,88755
20,16201,2,16201,95922
8,21475,4,21475,86995
28,28626,4,28626,25369
6,8965,5,8965,15104
2,28256,3,28256,31163
7,6470,5,6470,62295
6,13287,4,13287,4535
12,21365,3,21365,45610
13,6820,5,6820,91177
16,18333,5,18333,90976
27,18427,4,18427,25373
3,20044,2,20044,27612
21,12612,2,12612,6365
20,15471,4,15471,77558
25,18813,4,18813,51668
1,1773,1,1773,76681
9,17296,4,17296,84417
21,13901,4,13901,24230
15,22406,3,22406,81828
24,16046,2,16046,93535
28,2422,2,2422,4071
27,25947,2,25947,67992
10,6784,4,6784,71554
20,16293,3,16293,56075
27,2418,1,2418,20467
19,26709,4,26709,47268
25,4501,5,4501,66473
30,16237,5,16237,25889
9,10813,5,10813,92237
22,27816,4,27816,98133
2,21616,2,21616,84132
29,21319,2,21319,16164
9,26927,3,26927,34986
16,23267,5,23267,5741
17,26522,3,26522,69622
20,27774,1,27774,12992
13,3134,4,3134,36592
28,17918,3,17918,48805
22,14540,4,14540,18902
31,6555,4,6555,90898
29,23081,2,23081,76312
19,15735,4,15735,23041
7,5889,1,5889,40976
29,17841,5,17841,45619
29,22435,5,22435,29801
6,14552,3,14552,32109
21,15158,1,15158,57003
31,2260,1,2260,52307
16,11916,4,11916,50379
14,26291,2,26291,53219
12,19930,5,19930,12607
5,27936,2,27936,56621
9,8250,4,8250,82274
23,926,4,926,45713
19,14649,5,14649,68564
30,4513,2,4513,48607
2,14581,2,14581,90728
30,28503,2,28503,66736
11,12477,2,12477,59536
21,14403,2,14403,48624
28,24688,4,24688,74335
29,26054,1,26054,101056
16,28897,2,28897,40809
11,2277,1,2277,17396
15,17346,1,17346,96744
17,26533,1,26533,33706
29,16811,2,16811,86640
6,1428,5,1428,93805
13,5760,2,5760,75442
13,21902,1,21902,19369
23,1969,4,1969,55562
6,17710,3,17710,63349
12,21950,4,21950,57299
11,25747,2,25747,57715
4,25899,1,25899,44664
14,11126,5,11126,100375
25,15462,3,15462,91809
24,24932,3,24932,5198
24,6794,3,6794,57500
4,17917,3,17917,18014
26,9047,4,9047,15831
5,19331,1,19331,64357
3,11132,5,11132,32292
18,28223,3,28223,72334
1,24696,5,24696,7732
18,17499,4,17499,73135
13,24750,4,24750,93633
25,19745,2,19745,53597
7,10964,1,10964,3542
7,8855,1,8855,5415
30,955,2,955,38450
18,19860,1,19860,43042
7,18348,5,18348,89178
11,8109,5,8109,30052
31,17719,3,17719,82056
